ID,Quality
7479,1
5590,1
4678,1
528,0
6825,1
642,0
5463,1
2434,1
1373,0
5782,1
3382,0
6831,1
7454,1
5982,1
2465,0
2457,1
1326,0
4889,1
7583,1
2760,0
7574,1
6907,1
834,1
3010,0
692,0
3812,1
4400,1
6348,1
3680,0
7255,0
6476,1
3570,0
1292,0
2372,0
4974,1
495,0
6867,1
4270,1
4779,1
1837,0
4986,1
1573,0
2217,0
1811,0
5081,1
4597,1
5303,1
4549,1
44,0
1597,0
7112,1
4325,1
6956,1
2270,0
842,0
295,0
2031,0
725,0
5673,1
2519,0
1670,1
2364,1
7103,1
7011,1
1547,0
7675,1
4320,1
1140,0
958,0
5362,1
5907,1
134,0
3761,0
7502,1
5353,1
3225,1
5281,1
2929,0
3805,0
2172,0
6645,1
543,0
1168,0
4002,1
2971,1
2586,0
2994,0
1364,0
454,0
5085,1
7458,1
5221,1
1515,1
7021,1
6279,1
3537,0
2377,1
4793,1
7435,1
4551,1
5299,1
2241,0
4711,1
1633,0
4479,1
3908,1
5295,1
6467,1
5592,1
2429,0
6002,1
5585,1
6990,1
865,0
3424,0
3957,1
7622,1
1790,0
72,0
2854,0
3523,1
7453,1
2703,0
7509,1
3660,0
7044,1
1531,0
6623,1
2214,0
4638,1
200,0
1812,0
3069,0
1741,0
3136,0
4948,1
2272,1
5656,1
4904,1
4813,1
5431,1
4982,1
2412,0
39,0
5092,1
4668,1
938,0
3099,0
4675,1
5751,1
2726,0
1294,1
4322,1
1824,0
6234,1
6332,1
2459,0
3474,0
558,0
1379,0
2682,0
1939,0
5428,1
6306,1
2686,0
7465,1
4890,1
519,0
2962,0
4559,1
5318,1
4358,1
2843,1
3620,0
6511,1
4298,1
6268,1
572,0
4053,1
3302,1
4441,1
4608,1
4345,1
3826,1
683,0
4522,1
4407,1
1906,0
7398,1
3472,0
713,0
6892,1
6492,1
6642,1
7126,1
167,0
4480,1
1035,1
6006,1
1775,0
4434,1
2290,0
629,0
1085,0
7073,1
6368,1
154,0
7619,1
1696,0
3514,0
4284,1
3319,1
6133,1
6309,1
4130,1
1982,0
152,0
5591,1
6804,1
613,0
3654,0
5515,1
1132,0
1829,0
304,0
4456,1
98,0
641,0
42,0
2585,0
5949,1
5878,1
5150,1
994,0
1332,0
4033,1
4100,1
2615,0
7627,1
4118,1
6832,1
5686,1
5264,1
7302,1
6169,1
5213,1
6759,1
2401,0
3921,1
2658,1
5721,1
6474,1
5492,1
2179,0
6396,1
229,0
2940,0
2087,0
224,0
2831,0
4476,1
6049,1
2676,1
3460,0
4740,1
6901,1
7504,1
5857,1
6285,1
4304,1
2029,0
5129,1
4964,1
2006,0
409,0
4221,1
6207,1
6027,1
1022,0
1742,0
4321,1
1859,0
38,0
1172,0
4737,1
49,0
4388,1
217,0
1398,0
6621,1
2631,0
4443,1
7665,1
7231,1
273,0
4686,1
7556,1
2402,1
7001,1
3858,0
7335,1
2579,0
7461,1
5331,1
794,0
1034,0
7524,1
1687,0
3214,0
2894,0
3016,0
144,0
651,0
693,0
1845,0
1914,0
2070,0
6512,1
5859,0
158,0
6157,1
4695,1
5489,1
311,0
7439,1
3353,0
3169,0
7512,1
7007,1
147,0
2570,1
233,0
5165,1
2152,0
3540,0
6122,1
7178,1
3594,0
533,0
3784,0
33,0
6450,1
541,1
2549,0
1014,0
5915,1
1974,0
4174,1
1283,0
5926,1
3795,0
451,0
2162,0
1785,0
5565,1
3332,0
2171,0
1529,0
2939,0
3294,0
4996,1
593,0
1399,0
7220,1
176,0
3124,0
888,0
2090,0
3379,0
2250,0
2480,1
244,0
296,0
347,0
3619,0
5605,1
5212,1
2535,1
3101,0
4692,1
3566,0
7364,1
2417,0
7085,1
779,0
4312,1
462,0
257,1
1448,0
509,0
5172,1
5338,1
3996,1
771,0
7161,1
29,0
978,0
3391,0
5744,1
444,0
2630,0
6152,1
5389,1
2175,0
1977,0
6556,1
5766,0
1700,0
548,1
7501,1
3172,0
1855,0
521,0
2776,0
6967,1
1995,0
202,0
1526,0
6820,1
5480,1
2764,0
3587,1
90,0
722,0
6725,1
50,0
5421,1
5848,1
2228,0
5968,1
4376,1
5838,1
210,0
4565,1
7418,1
3852,1
684,0
4430,1
864,0
912,0
5407,1
2284,0
3311,0
1955,0
5383,1
487,0
5559,1
6493,1
2542,1
6349,1
1235,0
4884,1
1380,0
2350,1
119,0
3690,1
1259,0
2606,0
2911,0
5243,1
1270,0
700,0
1087,0
7520,1
6679,1
2875,0
162,0
6276,1
3640,0
7146,1
3014,0
6758,1
4233,1
1278,0
3220,0
6429,1
6870,1
7243,1
4617,1
1722,0
6791,1
3981,1
1003,0
7658,1
6121,1
4995,1
4875,1
6032,1
317,0
7109,1
226,0
5152,1
2826,0
394,0
3618,0
7480,1
7047,1
3456,0
140,0
7419,1
7317,1
1082,0
5697,1
5708,1
6415,1
6404,1
6124,1
4148,1
5775,1
3074,1
852,0
1357,0
6254,1
6500,1
7216,1
1514,0
5639,1
5460,1
3989,1
6668,1
5151,1
7576,1
7311,1
3508,1
7646,1
3493,1
3766,0
526,1
2853,0
3974,1
987,0
4755,1
1216,0
6020,1
5082,1
5417,1
313,0
5227,1
467,0
4234,1
3972,1
5642,1
4501,1
6973,1
3789,1
4666,1
4747,1
5665,1
3260,0
294,1
5582,1
4649,1
1748,0
5856,1
3861,1
3081,0
2613,0
456,0
1142,0
4060,1
2081,0
5885,1
527,0
6794,1
5095,0
963,0
3723,0
800,0
4418,1
5716,1
1654,0
3176,1
51,0
3182,0
3140,0
5831,1
6532,1
6263,1
4278,1
3664,0
1856,0
737,0
1570,0
1624,0
1917,0
4801,1
1940,0
6224,1
5101,1
2381,0
5794,1
2396,0
65,1
1122,0
6311,1
6993,1
3655,0
4832,1
3656,0
2921,0
5365,1
2623,0
378,0
5547,1
4644,1
4938,1
7510,1
7600,1
4656,1
1957,0
148,0
3184,1
6576,1
1484,0
7282,1
5723,1
6325,1
1523,0
6327,1
4831,1
2972,0
2648,0
4701,1
4972,1
2196,0
1833,0
7132,1
3896,1
7130,0
2873,0
2100,1
3842,1
4309,1
2378,0
4916,1
3433,0
2550,0
2525,0
2563,1
5957,1
4783,1
7648,1
2838,0
2728,0
1051,0
7421,1
3296,0
3517,1
1651,0
3151,0
4807,1
3564,0
6219,1
7224,1
4214,1
5253,1
5833,1
6580,1
979,0
1161,0
5263,1
1455,0
2337,0
773,0
5852,1
2650,0
2714,0
6715,1
7450,1
4408,1
5205,1
2470,0
5014,1
7348,1
2702,0
3192,0
4401,1
4623,1
1705,0
5700,1
5057,1
4898,1
2657,0
7385,1
5881,1
5621,1
1928,0
980,0
1454,0
3585,0
3724,0
3320,0
3073,1
7025,1
719,0
1867,0
1277,0
3791,1
247,0
7239,1
4629,1
2340,0
891,0
502,0
4472,1
2027,0
7165,1
2590,0
3955,1
2009,0
1595,1
6636,0
2566,1
6775,1
3731,0
170,0
5157,1
4137,1
3601,0
464,0
2355,1
3927,1
5780,1
2122,1
5636,1
2795,0
4084,1
6704,1
2916,0
4624,1
1657,0
2552,0
3924,1
3873,1
5329,1
31,0
4952,1
4196,1
7401,1
318,0
2531,0
418,0
2455,0
6708,1
1718,0
3736,1
1060,0
5218,1
4279,1
5958,1
6539,1
6468,1
6304,1
3697,0
4543,1
6953,1
1607,0
6769,1
4063,1
5858,1
7613,1
4265,1
3277,0
7123,1
3374,0
5482,1
3970,1
3480,1
287,0
3740,0
14,0
1817,0
4583,1
6071,1
6403,1
1425,0
6277,1
3651,0
7088,0
6164,1
1091,0
3093,0
138,0
5464,1
2060,0
4846,1
6821,1
4809,1
7070,1
7096,1
7015,1
1830,0
6126,1
5225,1
6178,1
3581,0
3605,0
7474,1
422,0
4395,1
6142,1
6075,1
6443,1
3066,0
733,0
4213,1
4557,1
882,0
559,0
3544,0
7017,1
3739,1
4258,1
7645,1
1675,0
6837,1
5916,1
5183,1
7339,1
6945,1
393,0
3253,1
6013,1
6099,1
1854,0
989,0
3756,0
982,0
578,0
3719,0
6326,1
5648,1
5363,1
194,0
878,0
5036,1
4743,1
7528,1
3357,0
6149,1
5484,1
4806,1
5920,1
1831,1
6873,1
6244,1
5476,1
2194,0
5051,1
5976,1
768,0
4463,1
2189,0
7391,1
6414,1
6542,1
1564,0
1702,0
2734,0
159,0
3117,0
916,0
6603,1
5989,1
3170,0
7219,1
1456,0
1750,0
1261,0
2724,0
3481,0
3844,1
635,0
2709,0
5351,1
7298,1
2063,0
3266,0
290,0
2521,0
227,0
6162,1
6941,1
5695,1
6637,1
2967,1
7602,1
634,0
704,0
6517,1
3855,1
2898,0
5244,1
191,0
4218,1
5121,1
2572,0
7173,1
530,0
3803,1
420,0
6171,1
2551,0
6912,1
1066,0
6384,1
291,0
1643,0
5459,1
2756,0
5160,1
1921,0
2252,0
3976,1
4337,1
5009,1
5023,1
7519,1
5967,1
971,0
4530,1
5991,1
3890,1
2708,0
499,0
3113,0
2213,0
874,0
48,0
944,0
1926,0
1029,0
5369,1
2877,1
2055,0
5712,1
4225,1
2404,1
4301,1
6423,1
3931,0
1121,0
6665,1
5771,1
1900,0
5752,1
7040,1
6340,1
4764,1
532,0
4250,1
2193,0
4773,1
840,0
1453,0
4954,1
1893,0
4508,1
2799,0
667,0
5344,1
5862,1
356,0
1983,0
479,0
1533,0
7533,1
7615,1
1237,1
1644,0
5617,1
2249,0
3617,0
5677,1
7508,1
2796,0
1766,0
1143,0
5917,1
6718,0
2501,0
3698,1
7361,1
188,0
5548,1
7475,1
5688,1
2847,0
133,0
3240,0
4172,1
214,0
6770,1
4424,1
6261,1
5414,1
1656,0
1343,0
2990,0
4514,1
831,0
234,0
574,0
5663,1
4637,1
6050,1
2247,0
3034,0
1457,0
4490,1
124,0
1220,0
1551,0
3188,0
1952,0
277,0
2476,0
1070,1
2872,1
2621,0
5279,1
5210,1
3609,0
5820,1
6858,1
3180,0
4077,1
976,0
3636,0
5668,1
4344,1
7672,1
7655,1
4622,1
3750,0
6110,1
6985,1
3410,1
7039,1
7411,1
5154,1
2131,0
4975,1
6582,1
475,0
3705,0
6664,1
3849,1
3672,0
3528,0
1422,0
5461,1
6086,1
1746,1
2817,0
7157,1
4059,1
7124,1
2644,0
2516,0
143,0
6454,1
7494,1
5650,1
6886,1
5919,1
7182,0
4224,1
6189,1
6331,1
5084,1
5052,1
2545,0
875,0
2329,0
4266,1
3363,0
5211,1
3147,0
2450,0
2285,1
4261,1
5445,1
4098,1
4677,1
6355,1
6581,1
4694,1
5174,1
2909,0
751,1
1103,0
1008,0
2932,0
472,0
1652,0
3631,1
6134,1
2769,0
4762,1
6632,1
7564,0
2526,0
439,0
263,0
3164,1
4115,1
6378,1
7207,1
1615,1
5395,1
121,0
6555,1
2436,0
1388,0
7571,1
2262,0
6681,1
2620,0
4406,1
496,0
6104,1
1985,0
3000,0
6319,1
5473,1
5198,1
2407,0
812,1
7319,1
206,0
2804,0
5830,1
6835,1
1578,0
2303,0
5377,1
7674,1
240,0
3359,0
6792,1
7095,1
3706,0
6471,1
7233,0
1255,0
1352,0
7341,1
1889,0
1751,1
6215,0
1726,0
6889,1
3507,0
6915,1
1182,0
991,0
5466,1
2011,0
2938,0
899,0
5190,1
252,0
2041,0
1892,0
5904,1
5155,1
6824,1
2998,0
4626,1
7009,1
7266,1
3501,0
4475,1
7605,1
1284,0
3018,0
2234,0
3126,0
1783,0
4086,1
4589,1
6491,1
731,0
5306,1
1369,0
7573,1
695,0
6372,1
1282,0
1861,0
2529,0
1120,0
3487,0
7660,1
7415,1
3350,0
2887,0
6095,1
5832,1
5204,1
2797,0
4994,1
5891,1
4127,1
5738,0
3658,0
1234,0
5787,1
6192,1
6251,1
4056,1
7194,1
2235,0
4771,1
3637,0
5887,1
4132,1
3307,0
2078,0
6247,1
7444,1
7559,1
7538,1
6602,1
4235,1
3615,0
5711,1
4097,1
5418,1
2488,1
15,0
4592,1
4117,1
2182,0
3341,0
1563,0
5283,1
1238,0
1043,0
3990,1
2229,0
841,0
4734,1
4340,1
1555,0
5945,1
6487,1
12,0
3326,0
6946,1
2448,0
4447,1
3464,0
5320,1
1334,0
2150,0
5861,1
4880,1
4715,1
3461,0
4616,1
4413,1
5109,1
3573,0
4019,1
2569,0
4285,1
4761,1
6199,1
6297,1
1815,0
1086,0
3427,0
6730,1
1642,0
2915,0
3092,0
4913,1
3166,0
3457,0
2124,0
6059,1
3479,1
5372,1
3083,0
5342,1
4328,1
7493,1
4655,1
1865,0
5853,1
3694,0
2043,0
4457,1
6,0
2980,0
7113,1
5235,1
783,1
3090,0
7016,1
3432,0
5528,1
8,0
6546,1
5170,1
7143,1
1129,0
2500,0
5005,1
517,0
2318,0
6815,1
5629,1
993,0
6383,1
1136,0
6829,1
2279,0
6417,1
4630,1
3039,0
2616,0
7543,1
2134,0
4308,1
2423,0
142,0
2266,0
6920,1
6473,1
3874,1
7086,1
1001,0
6350,1
5007,1
5572,1
1568,0
7051,1
4823,1
4569,1
597,0
826,0
2223,0
402,1
1621,1
6741,1
5826,1
1433,0
1411,0
6456,1
5807,1
1160,1
1363,0
4945,1
1196,1
1571,0
4553,1
220,0
4760,1
6756,1
1771,0
4106,1
5880,1
5586,1
3524,1
6884,1
7513,1
2017,0
1540,0
1281,0
2678,0
5087,1
1185,0
130,0
302,0
818,0
4013,1
5308,1
3213,0
2460,0
235,0
4008,1
7094,1
5834,1
4156,1
4166,1
2584,0
2293,0
862,1
1513,0
2635,0
2975,1
1961,0
4145,1
5812,0
1370,0
2815,0
2773,0
5560,1
7372,1
4375,1
555,0
7581,1
6872,1
3251,0
6068,1
4189,1
4313,1
5328,1
5829,1
3872,1
1467,0
2165,0
6266,1
2537,0
910,0
1461,0
6705,1
2065,0
3754,0
2588,0
4341,1
5047,1
3054,0
7162,1
6395,1
5680,1
4513,1
2242,0
1933,0
1173,0
2755,0
6023,1
6595,1
4713,1
6562,1
6608,1
3597,0
308,0
6640,1
3629,0
718,0
5493,1
2026,0
1063,1
443,0
1585,0
84,0
4977,1
5508,1
729,0
2661,0
3639,0
4542,1
7252,1
4990,1
6680,1
7323,1
5955,1
5937,1
2530,1
7018,1
379,0
3864,1
1590,0
4085,1
7423,1
3650,0
5233,1
5453,1
4231,1
2735,0
4712,1
4539,1
678,0
2670,0
539,0
3681,0
5773,1
3043,0
7071,1
6252,1
4587,1
3822,0
5992,1
6713,1
1362,0
2696,0
6440,1
1916,0
269,0
661,0
7384,1
1953,0
6299,1
4934,1
5153,1
6918,1
4169,1
7254,1
3429,0
1290,0
5029,1
735,0
3110,0
4276,1
3757,0
4141,1
5602,1
1819,0
3662,0
1361,0
6008,1
187,0
7352,1
1554,0
196,0
4784,1
322,1
5266,1
2164,0
6942,1
2033,0
4844,1
3779,0
1835,1
4886,1
7150,1
1806,0
6421,1
7005,1
34,0
113,0
4194,1
